קומות במבנה,שנת בנייה,תאריך עסקה,כתובת,גוש/חלקה/תת-חלקה,סוג נכס,חדרים,קומה,"מ""ר",מחיר,שכונה
3.0,1999.0,08/11/2019,בת חן 19,11193-318-4,דירה בבית קומות,4,שלישית,90.69,"1,740,000 ₪",רמת חן
3.0,1999.0,09/11/1999,בת חן 19,11193-318-4,דירה בבית קומות,4,שלישית,90.69,"716,000 ₪",רמת חן
5.0,2019.0,30/10/2019,צופית 18,11193-258-44,דירה,6,קומה 4,155.6,"2,290,000 ₪",רמת חן
5.0,2019.0,25/09/2019,צופית 18,11193-258-42,דירה בבית קומות,5,קומה 3,138.7,"1,930,000 ₪",רמת חן
2.0,2000.0,19/09/2019,בת חן 13,11193-312-2,דירה בבית קומות,5,ראשונה,104.0,"2,100,000 ₪",רמת חן
2.0,2004.0,18/08/2019,חוחית 5,11193-329-3,דירה בבית קומות,4,שניה,82.87,"1,735,000 ₪",רמת חן
2.0,2004.0,24/03/2013,חוחית 5,11193-329-3,דירה בבית קומות,4,שניה,82.87,"1,450,000 ₪",רמת חן
2.0,2004.0,03/02/2010,חוחית 5,11193-329-3,דירה בבית קומות,4,שניה,82.87,"1,099,000 ₪",רמת חן
3.0,2001.0,18/08/2019,בת חן 20,11193-268-2,דירה בבית קומות,4,שניה,100.0,"1,100,000 ₪",רמת חן
2.0,2001.0,17/07/2019,חוחית 2,11193-313-6,דירה בבית קומות,5,שניה ושלישית,107.98,"1,915,000 ₪",רמת חן
2.0,2001.0,16/02/2003,חוחית 2,11193-313-6,דירה בבית קומות,5,שניה ושלישית,107.98,"1,213,000 ₪",רמת חן
3.0,2002.0,13/06/2019,צופית 11,11193-262-2,דירה בבית קומות,4,קרקע ראשונה,98.04,"1,735,000 ₪",רמת חן
3.0,2002.0,12/12/2003,צופית 11,11193-262-2,דירה בבית קומות,4,קרקע ראשונה,98.04,"1,100,000 ₪",רמת חן
2.0,2000.0,06/06/2019,דוכיפת 4,11193-292-1,דירה בבית קומות,5,קרקע וראשונה,107.15,"2,150,000 ₪",רמת חן
2.0,2000.0,20/07/2009,דוכיפת 4,11193-292-1,דירה בבית קומות,5,קרקע וראשונה,107.15,"1,145,000 ₪",רמת חן
4.0,2001.0,02/05/2019,בת חן 26,11193-271-1,דירה בבית קומות,5,קרקע,121.42,"2,230,000 ₪",רמת חן
2.0,2004.0,02/05/2019,חוחית 5,11193-329-1,דירה בבית קומות,4,קרקע ראשונה,88.5,"1,840,000 ₪",רמת חן
2.0,2004.0,09/03/2014,חוחית 5,11193-329-1,דירה בבית קומות,4,קרקע ראשונה,88.5,"1,570,000 ₪",רמת חן
2.0,2004.0,08/09/2008,חוחית 5,11193-329-1,דירה בבית קומות,4,קרקע ראשונה,88.5,"940,000 ₪",רמת חן
3.0,2011.0,17/02/2019,דוכיפת 7,11193-341-7,דירה בבית קומות,5,שלישית ורביעית,121.0,"2,250,000 ₪",רמת חן
4.0,2008.0,07/11/2018,דוכיפת 10,11193-295-9,דירה בבית קומות,5,רביעית וחמישית,126.35,"2,225,000 ₪",רמת חן
4.0,2008.0,23/10/2008,דוכיפת 10,11193-295-9,דירה בבית קומות,5,רביעית וחמישית,126.35,"1,550,000 ₪",רמת חן
5.0,2019.0,04/11/2018,צופית 18,11193-258-46,דירה בבית קומות,6,קומה 5,155.6,"2,500,000 ₪",רמת חן
3.0,2002.0,16/04/2018,דוכיפת 15,11193-344-3,דירה בבית קומות,4,ראשונה,94.4,"1,840,000 ₪",רמת חן
3.0,2002.0,24/11/2010,דוכיפת 15,11193-344-3,דירה בבית קומות,4,ראשונה,94.4,"1,400,000 ₪",רמת חן
3.0,2002.0,14/09/2001,דוכיפת 15,11193-344-3,דירה בבית קומות,4,ראשונה,94.4,"1,006,000 ₪",רמת חן
6.0,2001.0,28/11/2017,צופית 22,11193-258-11,דירה בבית קומות,4,קומה 3,72.3,"1,580,000 ₪",רמת חן
6.0,2001.0,01/07/2009,צופית 22,11193-258-11,דירה בבית קומות,4,קומה 3,72.3,"975,000 ₪",רמת חן
1.0,1999.0,29/10/2017,צופית 4,11193-308-9,דירה בבית קומות,5,שניה ושלישית,111.4,"1,700,000 ₪",רמת חן
2.0,2001.0,07/08/2017,חוחית 2,11193-313-4,דירה בבית קומות,4,ראשונה,97.51,"1,800,000 ₪",רמת חן
2.0,2001.0,19/09/2012,חוחית 2,11193-313-4,דירה בבית קומות,4,ראשונה,97.51,"1,700,000 ₪",רמת חן
2.0,2001.0,09/06/2002,חוחית 2,11193-313-4,דירה בבית קומות,4,ראשונה,97.51,"1,060,000 ₪",רמת חן
4.0,2005.0,29/06/2017,חוחית 6,11193-317-8,דירה בבית קומות,3,שביעית,59.0,"925,000 ₪",רמת חן
4.0,2000.0,29/05/2017,צופית 2,11193-310-1,דירה בבית קומות,4,ראשונה,119.86,"2,350,000 ₪",רמת חן
4.0,2000.0,17/03/2010,צופית 2,11193-310-1,דירה בבית קומות,4,ראשונה,119.86,"1,550,000 ₪",רמת חן
3.0,2001.0,26/02/2017,צופית 12,11193-299-1,דירה בבית קומות,6,קרקע,126.11,"2,520,000 ₪",רמת חן
3.0,2002.0,19/01/2017,צופית 5,11193-265-4,דירה בבית קומות,3,שניה,67.04,"1,400,000 ₪",רמת חן
3.0,2002.0,09/04/2012,צופית 5,11193-265-4,דירה בבית קומות,3,שניה,67.04,"345,000 ₪",רמת חן
4.0,2010.0,18/01/2017,בת חן 28,11193-272-6,דירה בבית קומות,5,שלישית,117.65,"2,590,000 ₪",רמת חן
4.0,2010.0,26/07/2011,בת חן 28,11193-272-6,דירה בבית קומות,5,שלישית,117.65,"2,150,000 ₪",רמת חן
3.0,2002.0,14/12/2016,דוכיפת 2,11193-291-2,דירה בבית קומות,5,קרקע,101.86,"2,174,000 ₪",רמת חן
3.0,2000.0,13/10/2016,בת חן 23,11193-323-1,דירה בבית קומות,3,מרתף וקרקע,77.39,"1,570,000 ₪",רמת חן
3.0,2000.0,01/03/2007,בת חן 23,11193-323-1,דירה בבית קומות,3,מרתף וקרקע,77.39,"951,000 ₪",רמת חן
3.0,2000.0,09/01/2005,בת חן 23,11193-323-1,דירה בבית קומות,3,מרתף וקרקע,77.39,"855,000 ₪",רמת חן
2.0,1999.0,11/09/2016,בת חן 25,11193-325-5,דירה בבית קומות,4,שניה שלישית,116.87,"2,120,000 ₪",רמת חן
2.0,1999.0,11/02/1999,בת חן 25,11193-325-5,דירה בבית קומות,4,שניה שלישית,116.87,"1,108,000 ₪",רמת חן
4.0,2008.0,10/07/2016,דוכיפת 10,11193-295-6,דירה בבית קומות,5,שנייה,118.0,"2,220,000 ₪",רמת חן
2.0,2000.0,21/06/2016,דוכיפת 4,11193-292-5,דירה בבית קומות,5,שניה,105.6,"1,868,000 ₪",רמת חן
4.0,2007.0,16/06/2016,דוכיפת 8,11193-294-3,דירה בבית קומות,4,ראשונה,91.2,"1,660,000 ₪",רמת חן
4.0,2007.0,03/07/2015,דוכיפת 8,11193-294-3,דירה בבית קומות,4,ראשונה,91.2,"1,770,000 ₪",רמת חן
4.0,2007.0,21/09/2008,דוכיפת 8,11193-294-3,דירה בבית קומות,4,ראשונה,91.2,"910,000 ₪",רמת חן
4.0,2007.0,19/09/2005,דוכיפת 8,11193-294-3,דירה בבית קומות,4,ראשונה,91.2,"454,000 ₪",רמת חן
5.0,2002.0,22/02/2016,צופית 13,11193-261-6,דירה בבית קומות,6,רביעית וקומת גג,160.37,"1,900,000 ₪",רמת חן
5.0,2002.0,04/01/2012,צופית 13,11193-261-6,דירה בבית קומות,6,רביעית וקומת גג,160.37,"1,550,000 ₪",רמת חן
3.0,2002.0,20/01/2016,דוכיפת 14,11193-297-1,דירה בבית קומות,5,קרקע,93.78,"2,040,000 ₪",רמת חן
4.0,2010.0,18/11/2015,בת חן 28,11193-272-3,דירה בבית קומות,4,ראשונה,91.2,"1,980,000 ₪",רמת חן
4.0,2010.0,10/08/2011,בת חן 28,11193-272-3,דירה בבית קומות,4,ראשונה,91.2,"1,790,000 ₪",רמת חן
5.0,2014.0,23/08/2015,בת חן 7,11193-337-13,דירה בבית קומות,5,שניה,123.6,"2,080,000 ₪",רמת חן
1.0,2002.0,28/07/2015,צופית 6,11193-306-2,דירה בבית קומות,5,שלישית,120.0,"2,100,000 ₪",רמת חן
5.0,2014.0,09/07/2015,בת חן 7,11193-337-30,חנות,לא ידוע,קרקע,33.3,"475,000 ₪",רמת חן
1.0,2000.0,18/06/2015,חוחית 3,11193-330-2,דירה בבית קומות,5,מרתף קרקע וראשונה,126.3,"2,150,000 ₪",רמת חן
1.0,2000.0,24/07/2001,חוחית 3,11193-330-2,דירה בבית קומות,5,מרתף קרקע וראשונה,126.3,"1,089,000 ₪",רמת חן
1.0,2000.0,05/06/2015,חוחית 8,11193-319-1,דירה בבית קומות,5,רביעית,112.0,"1,599,000 ₪",רמת חן
5.0,2014.0,01/05/2015,בת חן 7,11193-337-3,דירה בבית קומות,5,שניה,121.3,"2,070,000 ₪",רמת חן
5.0,2014.0,21/04/2015,בת חן 7,11193-337-11,דירה בבית קומות,5,ראשונה,123.8,"2,220,000 ₪",רמת חן
4.0,2001.0,09/04/2015,בת חן 26,11193-271-8,דירה בבית קומות,5,"רביעית, חמישית",125.45,"2,075,000 ₪",רמת חן
3.0,2000.0,10/03/2015,דוכיפת 13,11193-344-11,דירה בבית קומות,4,ראשונה,92.55,"1,750,000 ₪",רמת חן
3.0,2000.0,02/02/2015,צופית 7,11193-264-5,דירה בבית קומות,4,ראשונה,80.0,"1,648,000 ₪",רמת חן
5.0,2014.0,06/01/2015,בת חן 7,11193-337-10,דירה בבית קומות,5,חמישית,126.6,"2,410,000 ₪",רמת חן
3.0,1999.0,05/01/2015,בת חן 17,11193-316-7,דירה בבית קומות,5,רביעית וחמישית,108.91,"1,889,000 ₪",רמת חן
3.0,2000.0,18/12/2014,בת חן 58,11193-290-8,דירה בבית קומות,4,"רביעית, חמישית",129.73,"1,674,000 ₪",רמת חן
3.0,2000.0,17/06/2004,בת חן 58,11193-290-8,דירה בבית קומות,4,"רביעית, חמישית",129.73,"1,136,000 ₪",רמת חן
5.0,2014.0,16/12/2014,בת חן 7,11193-337-14,דירה בבית קומות,5,שניה,124.7,"2,060,000 ₪",רמת חן
5.0,2014.0,11/11/2014,בת חן 7,11193-337-19,דירה בבית קומות,5,חמישית,129.6,"2,400,000 ₪",רמת חן
5.0,2014.0,05/10/2014,בת חן 7,11193-337-35,חנות,לא ידוע,קרקע,23.3,"474,000 ₪",רמת חן
1.0,2000.0,30/09/2014,בת חן 14,11193-309-6,דירה בבית קומות,4,קרקע ראשונה שניה,109.35,"1,800,000 ₪",רמת חן
1.0,2000.0,31/08/2008,בת חן 14,11193-309-6,דירה בבית קומות,4,קרקע ראשונה שניה,109.35,"1,100,000 ₪",רמת חן
5.0,2014.0,28/09/2014,בת חן 7,11193-337-26,חנות,לא ידוע,קרקע,111.2,"1,056,000 ₪",רמת חן
5.0,2014.0,23/09/2014,בת חן 7,11193-337-17,דירה בבית קומות,5,רביעית,124.1,"2,129,000 ₪",רמת חן
3.0,2000.0,23/09/2014,צופית 7,11193-264-4,דירה בבית קומות,5.5,שלישית,149.0,"2,350,000 ₪",רמת חן
3.0,2000.0,20/08/2014,בת חן 4,11193-300-2,דירת גג,5,רביעית,114.0,"1,800,000 ₪",רמת חן
3.0,2011.0,07/08/2014,דוכיפת 7,11193-341-6,דירה בבית קומות,4.5,שניה,95.4,"1,650,000 ₪",רמת חן
3.0,2011.0,30/07/2014,דוכיפת 7,11193-341-0,דירת גג,5,רביעית,998.0,"738,000 ₪",רמת חן
1.0,2000.0,23/06/2014,בת חן 14,11193-309-2,דירה בבית קומות,5.5,קרקע ראשונה שניה,106.5,"600,000 ₪",רמת חן
1.0,2000.0,06/07/2009,בת חן 14,11193-309-2,דירה בבית קומות,5.5,קרקע ראשונה שניה,106.5,"1,100,000 ₪",רמת חן
3.0,2013.0,04/05/2014,בת חן 36,11193-276-5,דירה בבית קומות,5,רביעית,100.0,"2,000,000 ₪",רמת חן
3.0,2013.0,04/10/2012,בת חן 36,11193-276-5,דירה בבית קומות,5,רביעית,100.0,"1,950,000 ₪",רמת חן
5.0,2014.0,11/04/2014,בת חן 7,11193-337-9,דירה בבית קומות,5,חמישית,127.1,"2,375,000 ₪",רמת חן
3.0,2001.0,06/04/2014,בת חן 20,11193-268-1,דירה בבית קומות,4,שלישית,120.0,"1,505,000 ₪",רמת חן
4.0,2001.0,23/03/2014,בת חן 48,11193-284-5,דירה בבית קומות,2,שלישית,49.23,"1,020,000 ₪",רמת חן
4.0,2001.0,25/03/2008,בת חן 48,11193-284-5,דירה בבית קומות,2,שלישית,49.23,"555,000 ₪",רמת חן
4.0,2001.0,01/08/2002,בת חן 48,11193-284-5,דירה בבית קומות,2,שלישית,49.23,"570,000 ₪",רמת חן
4.0,1984.0,13/02/2014,צופית 9,11193-263-8,דירה בבית קומות,5,חמישית,122.0,"1,870,000 ₪",רמת חן
5.0,2000.0,05/02/2014,בת חן 56,11193-288-7,דירה בבית קומות,4.5,רביעית וחמישית,129.0,"2,200,000 ₪",רמת חן
5.0,2014.0,03/02/2014,בת חן 7,11193-337-15,חנות,5,שלישית,123.8,"435,000 ₪",רמת חן
5.0,2014.0,20/12/2013,בת חן 7,11193-337-15,חנות,5,שלישית,123.8,"2,070,000 ₪",רמת חן
5.0,2014.0,28/01/2014,בת חן 7,11193-337-12,דירה בבית קומות,5,ראשונה,124.7,"2,489,000 ₪",רמת חן
5.0,2014.0,03/01/2014,בת חן 7,11193-337-18,דירה בבית קומות,5,רביעית,124.6,"2,120,000 ₪",רמת חן
5.0,2014.0,01/01/2014,בת חן 7,11193-337-27,חנות,לא ידוע,קרקע,85.6,"1,080,000 ₪",רמת חן
5.0,2014.0,01/01/2014,בת חן 7,11193-337-23,חנות,לא ידוע,קרקע,28.2,"415,000 ₪",רמת חן
4.0,1997.0,31/12/2013,בת חן 6,11193-302-6,דירה בבית קומות,3,שלישית,64.1,"1,268,000 ₪",רמת חן
6.0,2001.0,08/11/2013,צופית 22,11193-258-14,דירה בבית קומות,4,קומה 4,87.2,"1,360,000 ₪",רמת חן
4.0,2000.0,27/10/2013,בת חן 24,11193-270-2,דירה בבית קומות,5,לא ידוע,99.0,"2,080,000 ₪",רמת חן
1.0,1999.0,30/07/2013,צופית 4,11193-308-2,דירה בבית קומות,5,מרתף קרקע וראשונה,121.3,"1,900,000 ₪",רמת חן
1.0,1999.0,28/12/2000,צופית 4,11193-308-2,דירה בבית קומות,5,מרתף קרקע וראשונה,121.3,"1,053,000 ₪",רמת חן
6.0,2008.0,07/07/2013,בת חן 64,11193-342-3,דירה בבית קומות,4,קומה 0,80.0,"1,345,000 ₪",רמת חן
3.0,2004.0,26/06/2013,בת חן 34,11193-275-5,דירה בבית קומות,4,שניה,112.71,"1,899,000 ₪",רמת חן
3.0,2004.0,09/09/2004,בת חן 34,11193-275-5,דירה בבית קומות,4,שניה,112.71,"1,384,000 ₪",רמת חן
0.0,1984.0,25/06/2013,בת חן 1,11193-256-1,בניני ציבור,לא ידוע,לא ידוע,1724.0,"8,119,000 ₪",רמת חן
6.0,2008.0,25/06/2013,בת חן 64,11193-342-2,דירה בבית קומות,5,קומה 0,110.57,"1,949,000 ₪",רמת חן
6.0,2008.0,06/07/2006,בת חן 64,11193-342-2,דירה בבית קומות,5,קומה 0,110.57,"1,100,000 ₪",רמת חן
3.0,2013.0,30/05/2013,בת חן 36,11193-276-6,דירה בבית קומות,5,רביעית חמישית ושישית,129.8,"2,030,000 ₪",רמת חן
3.0,2013.0,05/07/2012,בת חן 36,11193-276-6,דירה בבית קומות,5,רביעית חמישית ושישית,129.8,"1,900,000 ₪",רמת חן
3.0,2001.0,28/05/2013,צופית 12,11193-299-2,דירה בבית קומות,4,ראשונה,102.21,"1,614,000 ₪",רמת חן
4.0,2002.0,01/05/2013,בת חן 38,11193-277-4,דירה בבית קומות,4,שניה,86.6,"1,640,000 ₪",רמת חן
4.0,2002.0,11/04/2002,בת חן 38,11193-277-4,דירה בבית קומות,4,שניה,86.6,"1,041,000 ₪",רמת חן
4.0,2003.0,15/02/2013,בת חן 21,11193-321-1,דירה בבית קומות,4,ראשונה,117.82,"1,819,000 ₪",רמת חן
1.0,2000.0,11/02/2013,בת חן 14,11193-309-1,דירה בבית קומות,4.5,קרקע ראשונה שניה,109.95,"1,490,000 ₪",רמת חן
3.0,2000.0,27/01/2013,בת חן 58,11193-290-3,דירה בבית קומות,4,שניה,91.6,"1,400,000 ₪",רמת חן
5.0,2013.0,24/01/2013,בת חן 30,11193-273-4,דירה בבית קומות,5,שלישית,106.4,"1,959,000 ₪",רמת חן
3.0,2003.0,14/01/2013,חוחית 12,11193-324-3,דירה בבית קומות,4,ראשונה,83.01,"1,590,000 ₪",רמת חן
3.0,2003.0,11/09/2007,חוחית 12,11193-324-3,דירה בבית קומות,4,ראשונה,83.01,"976,000 ₪",רמת חן
3.0,2002.0,17/12/2012,דוכיפת 2,11193-291-6,דירה בבית קומות,4,שניה,80.1,"1,559,000 ₪",רמת חן
3.0,2000.0,24/10/2012,צופית 7,11193-264-3,דירה בבית קומות,4,לא ידוע,84.0,"1,390,000 ₪",רמת חן
3.0,1998.0,16/10/2012,בת חן 35,11193-332-8,דירה בבית קומות,5,שלישית,139.1,"1,899,000 ₪",רמת חן
3.0,2013.0,05/10/2012,בת חן 36,11193-276-1,דירה בבית קומות,5,לא ידוע,104.0,"1,950,000 ₪",רמת חן
3.0,2013.0,29/02/2012,בת חן 36,11193-276-1,דירה בבית קומות,5,לא ידוע,104.0,"1,920,000 ₪",רמת חן
4.0,2010.0,11/09/2012,בת חן 28,11193-272-7,דירה בבית קומות,5,רביעית חמישית,164.5,"2,277,000 ₪",רמת חן
3.0,2011.0,21/08/2012,דוכיפת 7,11193-341-3,דירה בבית קומות,5,ראשונה,100.08,"1,650,000 ₪",רמת חן
3.0,2013.0,04/07/2012,בת חן 36,11193-276-3,דירה,5,לא ידוע,120.0,"1,900,000 ₪",רמת חן
2.0,2000.0,30/05/2012,בת חן 13,11193-312-1,דירה בבית קומות,5,ראשונה,150.0,"1,810,000 ₪",רמת חן
5.0,2002.0,28/05/2012,צופית 13,11193-261-3,דירה בבית קומות,5,שניה,100.21,"1,550,000 ₪",רמת חן
5.0,2002.0,10/11/2011,צופית 13,11193-261-3,דירה בבית קומות,5,שניה,100.21,"1,385,000 ₪",רמת חן
6.0,2001.0,24/05/2012,צופית 22,11193-258-3,דירה בבית קומות,4,קומה 1,72.3,"1,235,000 ₪",רמת חן
6.0,2008.0,08/05/2012,בת חן 64,11193-342-6,דירה בבית קומות,4,"קומה 2, קומה 3",109.53,"1,300,000 ₪",רמת חן
4.0,2009.0,01/05/2012,בת חן 32,11193-274-4,דירה בבית קומות,5,שלישית,118.36,"2,180,000 ₪",רמת חן
4.0,2010.0,22/04/2012,בת חן 28,11193-272-5,דירה בבית קומות,4,שניה,102.2,"1,700,000 ₪",רמת חן
3.0,2002.0,29/03/2012,דוכיפת 2,11193-291-3,דירה בבית קומות,4,ראשונה,85.08,"1,590,000 ₪",רמת חן
3.0,2005.0,23/03/2012,חוחית 1,11193-331-1,דירה בבית קומות,4,קרקע,110.1,"1,237,000 ₪",רמת חן
3.0,2002.0,15/03/2012,צופית 11,11193-262-5,דירה בבית קומות,3,שלישית,64.65,"1,100,000 ₪",רמת חן
2.0,2004.0,21/12/2011,חוחית 5,11193-329-4,דירה בבית קומות,4,שניה,83.0,"1,480,000 ₪",רמת חן
2.0,2004.0,12/08/2004,חוחית 5,11193-329-4,דירה בבית קומות,4,שניה,83.0,"956,000 ₪",רמת חן
3.0,2000.0,22/11/2011,דוכיפת 11,11193-344-18,דירה בבית קומות,4,קרקע,94.7,"1,700,000 ₪",רמת חן
4.0,2000.0,31/10/2011,צופית 2,11193-310-6,דירה בבית קומות,3,שלישית,76.32,"1,150,000 ₪",רמת חן
3.0,2000.0,27/10/2011,צופית 7,11193-264-6,דירה בבית קומות,3,ראשונה,76.0,"1,200,000 ₪",רמת חן
2.0,1999.0,24/10/2011,בת חן 54,11193-287-3,דירה בבית קומות,4,שניה,100.0,"1,540,000 ₪",רמת חן
4.0,2005.0,16/09/2011,חוחית 6,11193-317-7,דירה בבית קומות,4,קרקע שלישית ורביעית,117.97,"1,877,000 ₪",רמת חן
4.0,2005.0,10/07/2006,חוחית 6,11193-317-7,דירה בבית קומות,4,קרקע שלישית ורביעית,117.97,"1,308,000 ₪",רמת חן
4.0,2000.0,08/09/2011,צופית 2,11193-310-7,דירה בבית קומות,4,רביעית וחמישית,124.63,"1,340,000 ₪",רמת חן
3.0,2011.0,11/08/2011,דוכיפת 7,11193-341-2,דירה בבית קומות,4,קרקע,97.03,"1,887,000 ₪",רמת חן
2.0,2000.0,04/08/2011,דוכיפת 4,11193-292-4,דירה בבית קומות,5,שניה,105.6,"1,800,000 ₪",רמת חן
2.0,2000.0,02/08/2005,דוכיפת 4,11193-292-4,דירה בבית קומות,5,שניה,105.6,"1,148,000 ₪",רמת חן
2.0,2000.0,12/10/2003,דוכיפת 4,11193-292-4,דירה בבית קומות,5,שניה,105.6,"1,077,000 ₪",רמת חן
4.0,2001.0,31/07/2011,בת חן 26,11193-271-4,דירה בבית קומות,4.5,ראשונה,109.53,"1,610,000 ₪",רמת חן
4.0,2001.0,29/10/2001,בת חן 26,11193-271-4,דירה בבית קומות,4.5,ראשונה,109.53,"1,151,000 ₪",רמת חן
4.0,2010.0,27/07/2011,בת חן 28,11193-272-1,דירה בבית קומות,5,קרקע,101.67,"2,050,000 ₪",רמת חן
3.0,2004.0,24/06/2011,צופית 3,11193-266-6,דירה בבית קומות,4,שלישית,92.74,"1,720,000 ₪",רמת חן
3.0,2004.0,23/04/2006,צופית 3,11193-266-6,דירה בבית קומות,4,שלישית,92.74,"1,149,000 ₪",רמת חן
3.0,2005.0,09/06/2011,בת חן 50,11193-285-2,דירה בבית קומות,5,קרקע ראשונה,122.3,"1,925,000 ₪",רמת חן
3.0,2005.0,24/05/2011,חוחית 1,11193-331-8,דירה בבית קומות,4,"שלישית, רביעית",106.17,"1,100,000 ₪",רמת חן
3.0,1999.0,10/05/2011,בת חן 15,11193-314-2,דירה בבית קומות,4,קרקע,99.14,"1,600,000 ₪",רמת חן
3.0,1999.0,25/09/2005,בת חן 15,11193-314-2,דירה בבית קומות,4,קרקע,99.14,"1,132,000 ₪",רמת חן
3.0,1999.0,23/11/2000,בת חן 15,11193-314-2,דירה בבית קומות,4,קרקע,99.14,"1,013,000 ₪",רמת חן
3.0,2000.0,17/03/2011,דוכיפת 12,11193-296-7,דירה בבית קומות,6,שלישית ורביעית,126.09,"1,670,000 ₪",רמת חן
4.0,2001.0,07/02/2011,בת חן 26,11193-271-3,דירה בבית קומות,4,ראשונה,115.0,"1,550,000 ₪",רמת חן
3.0,2000.0,30/01/2011,דוכיפת 11,11193-344-17,דירה בבית קומות,4,קרקע,94.7,"1,775,000 ₪",רמת חן
3.0,2000.0,25/10/1999,דוכיפת 11,11193-344-17,דירה בבית קומות,4,קרקע,94.7,"1,190,000 ₪",רמת חן
3.0,2005.0,28/01/2011,חוחית 1,11193-331-7,דירה בבית קומות,4,"שלישית, רביעית",92.72,"1,225,000 ₪",רמת חן
4.0,2005.0,28/10/2010,חוחית 6,11193-317-4,דירה בבית קומות,4,קרקע שניה,93.61,"1,520,000 ₪",רמת חן
3.0,2008.0,17/08/2010,בת חן 52,11193-286-6,דירה בבית קומות,4,שלישית,68.02,"1,080,000 ₪",רמת חן
6.0,2001.0,15/08/2010,צופית 22,11193-258-16,דירה בבית קומות,4,קומה 4,72.2,"1,280,000 ₪",רמת חן
6.0,2001.0,04/05/2009,צופית 22,11193-258-16,דירה בבית קומות,4,קומה 4,72.2,"887,000 ₪",רמת חן
6.0,2001.0,09/03/2009,צופית 22,11193-258-16,דירה בבית קומות,4,קומה 4,72.2,"729,000 ₪",רמת חן
6.0,2001.0,18/01/2002,צופית 22,11193-258-16,דירה בבית קומות,4,קומה 4,72.2,"686,000 ₪",רמת חן
3.0,2000.0,26/07/2010,צופית 7,11193-264-7,דירה בבית קומות,3,שניה,63.0,"930,000 ₪",רמת חן
4.0,2000.0,29/06/2010,דוכיפת 5,11193-340-10,דירה בבית קומות,5,רביעית וחמישית,115.75,"1,500,000 ₪",רמת חן
4.0,2009.0,02/06/2010,בת חן 32,11193-274-5,דירה בבית קומות,5.5,שלישית רביעית חמישית,150.7,"2,000,000 ₪",רמת חן
4.0,2009.0,01/06/2010,בת חן 32,11193-274-2,דירה בבית קומות,5,ראשונה,123.98,"1,860,000 ₪",רמת חן
4.0,2009.0,11/05/2010,בת חן 32,11193-274-3,דירה בבית קומות,5,שניה,121.93,"1,950,000 ₪",רמת חן
2.0,2000.0,02/05/2010,בת חן 13,11193-312-4,דירה בבית קומות,6,ראשונה,110.0,"1,350,000 ₪",רמת חן
3.0,2011.0,18/04/2010,דוכיפת 7,11193-341-5,דירה בבית קומות,4,שניה,93.1,"1,420,000 ₪",רמת חן
2.0,2000.0,15/12/2009,דוכיפת 4,11193-292-7,דירה בבית קומות,4,שלישית ורביעית,105.7,"1,380,000 ₪",רמת חן
3.0,2000.0,12/11/2009,דוכיפת 11,11193-344-24,דירת גג,5,שלישית ורביעית,117.7,"1,400,000 ₪",רמת חן
3.0,2000.0,01/01/2002,דוכיפת 11,11193-344-24,דירת גג,5,שלישית ורביעית,117.7,"1,250,000 ₪",רמת חן
3.0,2003.0,05/11/2009,חוחית 12,11193-324-5,דירה בבית קומות,4,שניה,109.47,"1,500,000 ₪",רמת חן
3.0,2003.0,26/06/2001,חוחית 12,11193-324-5,דירה בבית קומות,4,שניה,109.47,"997,000 ₪",רמת חן
4.0,2002.0,28/10/2009,בת חן 38,11193-277-7,דירה בבית קומות,4,רביעית,106.64,"1,460,000 ₪",רמת חן
4.0,2000.0,11/10/2009,צופית 2,11193-310-3,דירה בבית קומות,4,שניה,74.75,"1,050,000 ₪",רמת חן
4.0,2000.0,23/11/2000,צופית 2,11193-310-3,דירה בבית קומות,4,שניה,74.75,"856,000 ₪",רמת חן
6.0,2001.0,03/09/2009,צופית 22,11193-258-6,דירה בבית קומות,4,קומה 2,87.2,"850,000 ₪",רמת חן
6.0,2001.0,05/02/2004,צופית 22,11193-258-6,דירה בבית קומות,4,קומה 2,87.2,"735,000 ₪",רמת חן
4.0,2000.0,19/08/2009,צופית 2,11193-310-5,דירה בבית קומות,3.5,שלישית,74.33,"1,024,000 ₪",רמת חן
2.0,1999.0,20/07/2009,בת חן 25,11193-325-4,דירה בבית קומות,4,ראשונה,86.93,"1,200,000 ₪",רמת חן
3.0,2011.0,04/06/2009,דוכיפת 7,11193-341-4,דירה בבית קומות,5,ראשונה,100.89,"1,360,000 ₪",רמת חן
3.0,2001.0,16/05/2009,בת חן 20,11193-268-5,דירה בבית קומות,4,שניה,100.0,"1,075,000 ₪",רמת חן
3.0,2005.0,13/05/2009,חוחית 1,11193-331-2,דירה בבית קומות,2,קרקע,40.0,"650,000 ₪",רמת חן
6.0,2001.0,10/05/2009,צופית 22,11193-258-2,דירה בבית קומות,4,קומה 1,87.2,"880,000 ₪",רמת חן
6.0,2001.0,18/02/2009,צופית 22,11193-258-2,דירה בבית קומות,4,קומה 1,87.2,"685,000 ₪",רמת חן
4.0,2000.0,16/04/2009,דוכיפת 5,11193-340-1,דירה בבית קומות,4,קרקע,81.29,"1,150,000 ₪",רמת חן
4.0,2000.0,21/02/2005,דוכיפת 5,11193-340-1,דירה בבית קומות,4,קרקע,81.29,"995,000 ₪",רמת חן
